"","p_val","gene","diffexpressed","celltype"
"377",0.00309887813532673,"8030451O07Rik","UP","inhibitory"
"378",0.00312128826323854,"Zfp608","UP","inhibitory"
"379",0.00312698405885409,"Grb14","DOWN","inhibitory"
"380",0.00319848693143744,"Tmem163","DOWN","inhibitory"
"381",0.00320160872627034,"Eif2s3y","UP","inhibitory"
"382",0.00335736666770199,"Metap1d","UP","inhibitory"
"383",0.00341256357670476,"A330015K06Rik","UP","inhibitory"
"384",0.00350788554226867,"Snhg8","UP","inhibitory"
"385",0.00351170011305966,"Slc12a2","DOWN","inhibitory"
"386",0.00370496855009409,"Gm5820","UP","inhibitory"
"387",0.00394811871077976,"Inpp4b","DOWN","inhibitory"
"388",0.00409045642669924,"Gria3","DOWN","inhibitory"
"389",0.00424099196645762,"Gm12064","UP","inhibitory"
"390",0.00446101107230104,"March1","DOWN","inhibitory"
"391",0.00452009705067035,"Taf1d","UP","inhibitory"
"392",0.00452891718616727,"Gas5","UP","inhibitory"
"393",0.00456986372579195,"Cwf19l2","UP","inhibitory"
"394",0.00467665178147189,"Rbm28","UP","inhibitory"
"395",0.00474202809788186,"Ttc4","UP","inhibitory"
"396",0.004768095490622,"Kcnk2","UP","inhibitory"
"397",0.00492863163611746,"Adra1a","UP","inhibitory"
"398",0.0049490100901332,"Map4k5","DOWN","inhibitory"
"399",0.00499953730365679,"Cntnap5a","DOWN","inhibitory"
"400",0.00500533298876245,"Gm32250","UP","inhibitory"
"401",0.00548145638928274,"Ftx","UP","inhibitory"
"402",0.00561588618952957,"Rnf13","DOWN","inhibitory"
"403",0.00575531907326262,"Gfpt2","UP","inhibitory"
"404",0.0058658752287714,"Sox6","UP","inhibitory"
"405",0.00588842377193988,"Pde5a","UP","inhibitory"
"406",0.00618449908775515,"Adarb2","UP","inhibitory"
"407",0.00637186869860113,"Cdc7","UP","inhibitory"
"408",0.00642929892556243,"Egfros","UP","inhibitory"
"409",0.00658001409034015,"3110021N24Rik","UP","inhibitory"
"410",0.00663108408840688,"Zmat4","UP","inhibitory"
"411",0.00684199206494303,"Cntnap5b","DOWN","inhibitory"
"412",0.00784006543379976,"Nectin3","UP","inhibitory"
"413",0.00810240214607242,"Kcnt2","UP","inhibitory"
"414",0.00828705759774297,"Micu2","UP","inhibitory"
"415",0.00861375970519951,"Plcl1","DOWN","inhibitory"
"416",0.00902003350444376,"A430106G13Rik","UP","inhibitory"
"417",0.00911731836702038,"Gm3764","UP","inhibitory"
"418",0.00945093463148105,"mt-Atp6","DOWN","inhibitory"
"419",0.0095351121116363,"Epha3","UP","inhibitory"
"420",0.00965062748902703,"Far1os","UP","inhibitory"
"421",0.00986832077936208,"Pacrg","UP","inhibitory"
"422",0.00995012988497019,"Nxph1","UP","inhibitory"
"423",1.82241772147977e-60,"Fkbp5","DOWN","microglia"
"424",7.23667297586395e-31,"Ccnd3","DOWN","microglia"
"425",6.78210378528771e-13,"Tsc22d3","DOWN","microglia"
"426",5.53813939703076e-11,"Pten","DOWN","microglia"
"427",4.63830612782424e-10,"March1","DOWN","microglia"
"428",8.75461221608958e-09,"Ssh2","DOWN","microglia"
"429",1.35175683607748e-08,"Gm47283","UP","microglia"
"430",1.47206781997036e-08,"Csmd3","DOWN","microglia"
"431",2.25550393708642e-08,"Wsb1","UP","microglia"
"432",3.29503767182178e-08,"Ptprd","DOWN","microglia"
"433",4.46749872277956e-08,"mt-Nd4","UP","microglia"
"434",4.51458283220854e-08,"Rin2","UP","microglia"
"435",5.95573356945132e-08,"mt-Co2","UP","microglia"
"436",6.31808339273226e-08,"Cadm1","DOWN","microglia"
"437",7.00604812766045e-08,"Mlxip","DOWN","microglia"
"438",8.77608570180061e-08,"Glul","DOWN","microglia"
"439",1.09766420796233e-07,"Dhx9","DOWN","microglia"
